position;model_type;model_name;n_train;n_test;mae;rmse;pct_error_le_1;pct_error_le_2;pct_integer_exact;pct_integer_error_le_1;pct_integer_error_le_2;selected_for_prediction
DMF;anchored_formula;AnchorGradientBoosting;841;211;2,627875674119931;2,7710422297620947;3,7914691943127963;22,748815165876778;0,9478672985781991;9,47867298578199;41,70616113744076;False
CMF;anchored_formula;AnchorCurve;1228;308;1,7189326298701295;2,0766051223602093;34,74025974025974;61,68831168831169;13,96103896103896;47,4025974025974;75,97402597402598;False
CMF;anchored_formula;AnchorLinearRegression;1228;308;0,7492192530125352;0,9533047409972131;75,0;96,1038961038961;41,23376623376623;89,6103896103896;98,7012987012987;True
CMF;anchored_formula;AnchorRidge;1228;308;0,7500442942559865;0,9573283552354641;74,02597402597402;96,42857142857143;40,909090909090914;89,6103896103896;98,7012987012987;False
CMF;anchored_formula;AnchorLasso;1228;308;0,7572091723236283;0,9688378729364638;72,40259740259741;96,1038961038961;38,961038961038966;88,63636363636364;98,7012987012987;False
CMF;anchored_formula;AnchorElasticNet;1228;308;0,7527121489764387;0,9592861320024885;74,67532467532467;96,1038961038961;39,935064935064936;89,6103896103896;98,7012987012987;False
CMF;anchored_formula;AnchorExtraTrees;1228;308;2,8045521915584426;2,9120474617492973;1,6233766233766231;14,285714285714285;0,6493506493506493;4,870129870129871;31,16883116883117;False
CMF;anchored_formula;AnchorRandomForest;1228;308;4,414903318903308;4,488259151846242;0,0;0,974025974025974;0,0;0,0;1,6233766233766231;False
CMF;anchored_formula;AnchorHistGradient;1228;308;4,447445558797702;4,512356098839756;0,0;0,3246753246753247;0,0;0,0;0,974025974025974;False
CMF;anchored_formula;AnchorGradientBoosting;1228;308;4,342917126910172;4,411560443581768;0,0;0,974025974025974;0,0;0,0;1,6233766233766231;False
LMF;anchored_formula;AnchorCurve;270;68;1,1301470588235292;1,4627698186247247;50,0;88,23529411764706;27,941176470588236;73,52941176470588;94,11764705882352;False
LMF;anchored_formula;AnchorLinearRegression;270;68;0,6183024844474455;0,8047893245876885;83,82352941176471;97,05882352941177;52,94117647058824;91,17647058823529;100,0;False
LMF;anchored_formula;AnchorRidge;270;68;0,6273185483247176;0,8100856316138693;83,82352941176471;97,05882352941177;45,588235294117645;91,17647058823529;100,0;False
LMF;anchored_formula;AnchorLasso;270;68;0,6174591720472287;0,8029409935807044;83,82352941176471;97,05882352941177;48,529411764705884;92,64705882352942;100,0;True
LMF;anchored_formula;AnchorElasticNet;270;68;0,619123433829358;0,8060169287241615;85,29411764705883;97,05882352941177;48,529411764705884;91,17647058823529;100,0;False
