2026-06-23 22:38:37,579 | INFO | __main__ | Modelo PES-like CMF guardado (Ridge, MAE train 0.457)
2026-06-23 22:38:38,020 | INFO | __main__ | Modelo PES-like LMF guardado (Ridge, MAE train 0.416)
2026-06-23 22:38:38,877 | INFO | __main__ | Modelo PES-like RMF guardado (Ridge, MAE train 0.340)
2026-06-23 22:38:39,538 | INFO | __main__ | Modelo PES-like AMF guardado (Ridge, MAE train 0.413)
2026-06-23 22:38:40,470 | INFO | __main__ | Modelo PES-like LWF guardado (Ridge, MAE train 0.419)
2026-06-23 22:38:41,403 | INFO | __main__ | Modelo PES-like RWF guardado (Ridge, MAE train 0.435)
2026-06-23 22:38:42,177 | INFO | __main__ | Modelo PES-like SS guardado (Ridge, MAE train 0.286)
2026-06-23 22:38:43,999 | INFO | __main__ | Modelo PES-like CF guardado (Ridge, MAE train 0.346)
2026-06-23 22:38:44,069 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-24 14:07:20,359 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 14:09:05,436 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 14:09:05,580 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 14:09:05,744 | INFO | __main__ | Modelo PES-like GK guardado (AnchorRidge, MAE train 1.134)
2026-06-24 14:09:05,962 | INFO | __main__ | Modelo PES-like CB guardado (AnchorRidge, MAE train 0.688)
2026-06-24 14:09:06,145 | INFO | __main__ | Modelo PES-like LB guardado (AnchorRidge, MAE train 0.837)
2026-06-24 14:09:06,339 | INFO | __main__ | Modelo PES-like RB guardado (AnchorRidge, MAE train 0.836)
2026-06-24 14:09:06,538 | INFO | __main__ | Modelo PES-like DMF guardado (AnchorRidge, MAE train 1.014)
2026-06-24 14:09:06,746 | INFO | __main__ | Modelo PES-like CMF guardado (AnchorRidge, MAE train 0.862)
2026-06-24 14:09:06,939 | INFO | __main__ | Modelo PES-like LMF guardado (AnchorRidge, MAE train 0.685)
2026-06-24 14:09:07,115 | INFO | __main__ | Modelo PES-like RMF guardado (AnchorRidge, MAE train 0.787)
2026-06-24 14:09:07,300 | INFO | __main__ | Modelo PES-like AMF guardado (AnchorRidge, MAE train 0.753)
2026-06-24 14:09:07,475 | INFO | __main__ | Modelo PES-like LWF guardado (AnchorRidge, MAE train 0.850)
2026-06-24 14:09:07,639 | INFO | __main__ | Modelo PES-like RWF guardado (AnchorRidge, MAE train 0.832)
2026-06-24 14:09:07,802 | INFO | __main__ | Modelo PES-like SS guardado (AnchorRidge, MAE train 0.650)
